"","phylum","n"
"Actinobacteria","Actinobacteria",20766
"Aquificae","Aquificae",1012
"Ascomycota","Ascomycota",22787
"Bacteroidetes","Bacteroidetes",1018
"Basidiomycota","Basidiomycota",20
"Candidatus_Saccharibacteria","Candidatus_Saccharibacteria",1
"Cyanobacteria","Cyanobacteria",872
"Deinococcus_Thermus","Deinococcus_Thermus",43
"Firmicutes","Firmicutes",35528
"Fusobacteria","Fusobacteria",6
"Mucoromycota","Mucoromycota",2326
"Planctomycetes","Planctomycetes",449
"Proteobacteria","Proteobacteria",22153
