Variable,Importance,Sign
3.2.1.41,8.64710071241417,NEG
3.2.1.164,5.57999300507447,POS
1.11.1.29,5.54015631791069,NEG
3.2.1.205,4.23781312132712,NEG
3.1.1.93,4.21848735048527,NEG
3.2.1.93,3.83411443880281,POS
3.2.1.45,2.15613999140402,POS
3.1.1.88,2.05417492831646,NEG
3.1.1.77,1.6814020847881,NEG
1.10.3.3,1.57418262164927,NEG
3.1.1.94,1.45054115834935,POS
1.11.1.5,1.31917856415844,POS
3.1.1.72,1.25267519451661,NEG
3.2.1.139,1.11865493238344,POS
3.1.1.107,1.06717801383611,POS
1.10.3.2,0.990416920217182,POS
3.1.1.68,0.895034329445139,NEG
1.11.1.10,0.802463576890932,NEG
3.2.1.177,0.759157269903621,POS
1.11.1.6,0.688497613916788,POS
3.2.1.99,0.650573273360129,NEG
3.2.1.122,0.592263225776171,POS
3.2.1.185,0.568668744663953,POS
3.1.1.104,0.486755846843817,NEG
3.2.1.184,0.477018804240362,NEG
3.1.1.22,0.416226153054611,NEG
1.1.3.8,0.243637522733224,NEG
3.1.1.73,0.133753604913984,NEG
3.2.1.78,0.0373103013487413,NEG
3.2.1.25,0.00555496905126724,NEG
1.1.3.12,0,NEG
1.1.3.13,0,NEG
1.1.3.16,0,NEG
1.10.3.16,0,NEG
1.10.3.9,0,NEG
1.11.1.1,0,NEG
1.11.1.11,0,NEG
1.11.1.21,0,NEG
1.11.1.22,0,NEG
1.11.1.24,0,NEG
1.11.1.25,0,NEG
1.11.1.26,0,NEG
1.11.1.27,0,NEG
1.11.1.7,0,NEG
1.11.1.9,0,NEG
3.1.1.106,0,NEG
3.1.1.13,0,NEG
3.1.1.2,0,NEG
3.1.1.23,0,NEG
3.1.1.24,0,NEG
3.1.1.26,0,NEG
3.1.1.29,0,NEG
3.1.1.42,0,NEG
3.1.1.45,0,NEG
3.1.1.47,0,NEG
3.1.1.5,0,NEG
3.1.1.53,0,NEG
3.1.1.59,0,NEG
3.1.1.6,0,NEG
3.1.1.61,0,NEG
3.1.1.7,0,NEG
3.1.1.76,0,NEG
3.1.1.8,0,NEG
3.1.1.81,0,NEG
3.1.1.85,0,NEG
3.1.1.87,0,NEG
3.1.1.92,0,NEG
3.1.1.96,0,NEG
3.2.1.1,0,NEG
3.2.1.10,0,NEG
3.2.1.11,0,NEG
3.2.1.129,0,NEG
3.2.1.133,0,NEG
3.2.1.147,0,NEG
3.2.1.15,0,NEG
3.2.1.157,0,NEG
3.2.1.169,0,NEG
3.2.1.17,0,NEG
3.2.1.18,0,NEG
3.2.1.196,0,NEG
3.2.1.20,0,NEG
3.2.1.208,0,NEG
3.2.1.21,0,NEG
3.2.1.23,0,NEG
3.2.1.26,0,NEG
3.2.1.28,0,NEG
3.2.1.31,0,NEG
3.2.1.35,0,NEG
3.2.1.37,0,NEG
3.2.1.38,0,NEG
3.2.1.39,0,NEG
3.2.1.4,0,NEG
3.2.1.49,0,NEG
3.2.1.51,0,NEG
3.2.1.55,0,NEG
3.2.1.58,0,NEG
3.2.1.8,0,NEG
3.2.1.80,0,NEG
3.2.1.81,0,NEG
3.2.1.86,0,NEG
3.2.1.89,0,NEG
3.2.1.96,0,NEG
4.2.2.2,0,NEG
4.2.2.22,0,NEG
4.2.2.26,0,NEG
4.2.2.3,0,NEG
4.2.2.7,0,NEG
1.1.3.47,0,NEG
1.1.3.6,0,NEG
1.11.1.28,0,NEG
3.1.1.11,0,NEG
3.1.1.117,0,NEG
3.1.1.15,0,NEG
3.1.1.35,0,NEG
3.1.1.99,0,NEG
3.2.1.141,0,NEG
3.2.1.142,0,NEG
3.2.1.22,0,NEG
3.2.1.68,0,NEG
1.1.3.37,0,NEG
3.1.1.101,0,NEG
3.1.1.84,0,NEG
3.1.1.95,0,NEG
3.2.1.178,0,NEG
3.2.1.214,0,NEG
3.2.1.60,0,NEG
3.2.1.73,0,NEG
1.1.3.15,0,NEG
1.1.3.4,0,NEG
1.11.1.23,0,NEG
3.2.1.3,0,NEG
3.2.1.40,0,NEG
3.1.1.10,0,NEG
3.2.1.155,0,NEG
3.2.1.24,0,NEG
1.11.1.13,0,NEG
3.2.1.162,0,NEG
3.2.1.32,0,NEG
3.2.1.85,0,NEG
1.11.1.18,0,NEG
3.1.1.102,0,NEG
3.1.1.20,0,NEG
3.2.1.123,0,NEG
3.2.1.172,0,NEG
4.2.2.24,0,NEG
3.2.1.136,0,NEG
3.1.1.56,0,NEG
3.1.1.75,0,NEG
3.2.1.132,0,NEG
1.11.1.19,0,NEG
3.2.1.207,0,NEG
3.2.1.75,0,NEG
3.2.1.98,0,NEG
3.2.1.204,0,NEG
1.11.1.20,0,NEG
3.1.1.112,0,NEG
3.1.1.74,0,NEG
3.1.1.97,0,NEG
3.1.1.98,0,NEG
3.2.1.113,0,NEG
3.2.1.179,0,NEG
4.2.2.21,0,NEG
3.1.1.14,0,NEG
3.1.1.83,0,NEG
4.2.2.1,0,NEG
1.11.1.8,0,NEG
3.2.1.135,0,NEG
4.2.2.8,0,NEG
3.1.1.103,0,NEG
1.1.3.41,0,NEG
3.1.1.27,0,NEG
3.1.1.89,0,NEG
3.2.1.165,0,NEG
4.2.2.25,0,NEG
1.11.1.12,0,NEG
3.2.1.2,0,NEG
1.1.3.17,0,NEG
1.10.3.1,0,NEG
3.2.1.102,0,NEG
3.2.1.209,0,NEG
3.2.1.156,0,NEG
3.2.1.91,0,NEG
1.1.3.42,0,NEG
